ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
295;Adrenaline;drugs;0x;E7;1;verre bartender ;12;1;50;6;39479;1;E;7;
296;Dechire tout;drugs;0x;E8;1;verre E8/respectez l'ordre de la recette;13;1;50;6;38749;1;E;8;
297;Speed;drugs;0x;E9;1;verre ananas;12;1;50;6;38384;1;E;9;
298;Long island ice tea;rhumerie;0x;I33;1;verre V25/13mix z2q(f1)+2cl gin+cola;13;1;50;6;38384;1;I;33;
299;Blue Hawaiian ;rhumerie;0x;I59;1;"verre cabernet/shaker + cerise facon colada

";12;1;50;5;41112;1;I;59;
300;Bloody ragnana;vodkaterie;0x;H49;1;"verre huricane/branche céleri

";12;1;50;5;38384;1;H;49;
301;Amaretto sour;Oompa LoOmpa;0x;F16;1;verre lego;12;1;35;3;38384;1;F;16;
302;Kamikaze;vodkaterie;0x;H50;1;"verre tete lego/glace pilée

";12;1;35;3;38384;1;H;50;
303;Margarita;Oompa LoOmpa;0x;F14;1;verre margarita+bord de verre sale+12cl de mix z2(margarita);12;1;35;3;38384;1;F;14;
304;Tequila sunrise;tequilaterie;0x;J25;1;verre sangria ;12;1;65;5;38384;1;J;25;
305;Fire in the hole ;jackdanielserie;0x;F7L;1;shaker fort et decorer corne piment ;12;1;35;3;38384;1;F;7;L
306;Alexander;Oompa LoOmpa;0x;F17;0;"shaker/verre martini rafraichi/filtrer shaker

";8;1;35;3;38384;1;F;17;
307;Matterhorn;Oompa LoOmpa;0x;F18;1;"verre à martini/glace pilée

";11;1;35;3;38384;1;F;18;
308;Orgasm ;Oompa LoOmpa;0x;F40;1;"oldfashion/shaker /glace pilée

";12;1;35;3;38384;1;F;40;
309;Gin fizz;ginto &Co;0x;K2;1;"verre ginto/shaker tout sauf eau pétillante(inclus chantilly et les 2citrons pressés8cl)/ verser eau petillante(variante au schweppes agrume possible pour la touch qdb)



";15;1;65;5;38384;1;K;2;
310;Ho'oponopono;tequilaterie;0x;J31;1;verre palladio/;13;1;65;5;38384;1;J;31;
311;i love you;Oompa LoOmpa;0x;F21;0;verre martini;11;1;35;3;38384;1;F;21;
312;Sex on the Playa;vodkaterie;0x;H51;1;"verre hurricane/glace pilée

";12;1;50;5;38384;1;H;51;
313;King of the night ;mojito party;0x;M1;1;verre ananas/utiliser mix Z2k 10cl+menthe et broyer+limonade ;13;1;65;5;40210;1;M;1;
314;Mojito royal;mojito party;0x;M36;1;"verre fist/glace pilée/fluo/menthe fraiche/piler/broyeur

prix fast 15euro";13;1;50;1;39114;1;M;36;
315;Mojito especial;mojito party;0x;M34;1;"verre Palladio/glace pilée/fluo/menthe fraiche/piler/broyeur

";13;1;50;4;39845;1;M;34;
316;Whisky sour;jackdanielserie;0x;F7F;1;verre cabernet/10 mix z2w(sour)+4 sky + jus citron;12;1;50;5;39845;1;F;7;F
317;Blue lagoon;vodkaterie;0x;H52;1;verre bartender /shaker + cerise facon colada;12;1;50;5;39845;1;H;52;
318;Cosmopolitain;les oublies;0x;Z9G;0;"presser lime/shaker/filtrer mixture/flamber écorce orange

";11;1;35;3;39845;1;Z;9;G
319;sakanéné;les anecdotiques;0x;V27;1;verre a cointreau fizz ou baby bottle cointreau;12;1;65;5;40575;1;V;27;
320;Caipirinha;Oompa LoOmpa;0x;F28;1;verre tete de lego;12;1;35;3;38384;1;F;28;
321;Tutti frutti;vodkaterie;0x;H54;1;"verre bartender /glace pilée

";12;1;50;5;40210;1;H;54;
322;Wanted Bimbo;vodkaterie;0x;H63;1;"verre sangria/glace pilée

";13;1;50;6;40575;1;H;63;
323;Vas chercher le poney;les anecdotiques;0x;V75;1;verre bartender ;12;1;65;5;41112;1;V;75;
324;Malou, nichon;les anecdotiques;0x;V76;1;"verre à pied/glace pilée

";12;1;65;5;41112;1;V;76;
325;Tibo;Oompa LoOmpa;0x;F30;1;"oldfashion/glace pilée

";12;1;35;3;40575;1;F;30;
326;Ti punch;Oompa LoOmpa;0x;F31;1;"broyer citron vert dans mixture/oldfashion

traditionnellement le tipunch se boit sans glace

";12;1;35;3;40575;1;F;31;
327;Lava flow;rhumerie;0x;I53;1;verre coupe a glace /shaker sans le jus de fraise pour l effet svp+ tranche ananas et  cerise facon colada+barbe papa coco;13;1;65;5;41671;1;I;53;
328;Bellini;bulles;0x;G58;1;verre bartender ;13;1;50;1;40575;1;G;58;
329;Coco cup colada;tequilaterie;0x;J5;1;verre ananas:dans shaker 6cl mix Z2o(colada)+3 tequila+2 triple sec+jus ananas+jus tropical+jus pomme trouble+shaker fort;13;1;50;5;41112;1;J;5;
330;Tape dans le fond je ne suis pas ta mère;mojito party;0x;M16;1;"verre à hanse-cognac/menthe fraiche/piler/broyeur/glace pilée

";13;1;75;7;40575;1;M;16;
331;Mojito S(event) nature ou fruite(1fruit);after-workers;0x;F0J;1;verre after 25cl;7,5;1;35;3;38384;1;F;0;J
332;Salome di bahia;Oompa LoOmpa;0x;F32;1;tete de lego;12;1;35;3;40575;1;F;32;
333;Japan colada;rhumerie;0x;I56;1;verre hurricane/ shaker/ + cerise facon colada+barbe papa coco;13;1;50;5;40940;1;I;56;
334;Strawberry colada;rhumerie;0x;I57;1;verre coupe a glace/shaker + cerise facon colada et barbe a papa coco;13;1;50;5;40940;1;I;57;
335;Espresso martini;les oublies;0x;Z9A;0;"shaker/verre à martini/grain café

ou shaker le tails tres fort sur glacon et filtrer 25cl";7,5;1;35;3;40940;1;Z;9;A
336;Straw bimbam colada;rhumerie;0x;I58;1;verre coupe a glace/shaker+facon colada;13;1;50;5;40940;1;I;58;
337;Cuba libre;rhumerie;0x;I60;1;verre ananas ;12;1;50;6;38384;1;I;60;
338;Oncle Picsou;Mocktail;0x;A86;1;verre urne;10;1;100;8;40940;1;A;86;
339;La petite sirene (-16ans!!);mojito party;0x;M0F;1;verre strier ;10;1;100;8;40940;1;M;0;F
340;Reine des neiges;Mocktail;0x;A88;1;verre urne ;10;1;100;8;40940;1;A;88;
341;Pocahontas(-16ans!!);mojito party;0x;M0E;1;verre organique plat ;10;1;100;8;40940;1;M;0;E
342;Pumba(-16ans!!);Mocktail;0x;A90;1;"verre strier petit 

";10;1;100;8;40940;1;A;90;
343;Aristochats (-16ans!!);Mocktail;0x;A91;1;verre bocal;10;1;100;8;40940;1;A;91;
344;Rox et rocky(-16ans!!);Mocktail;0x;A92;1;verre strier ;10;1;100;8;40940;1;A;92;
345;lynchburg limonade;jackdanielserie;0x;F7K;1;"verre à hanse/glace pilée

";10;1;35;3;40940;1;F;7;K
346;Wally gator ;Mocktail;0x;A93;1;verre pot de chambre ;10;1;100;8;40940;1;A;93;
347;Dragon ball ;Mocktail;0x;A94;1;verre boule sa;10;1;100;8;40940;1;A;94;
348;Pina colada;rhumerie;0x;I44;1;verre coupe a glace/dans shaker 8cl mix Z2o(colada)+6rhum+jus ananas+shaker fort;12;1;50;5;38384;1;I;44;
349;Smart mojito SANS ALCOOL(!!pas en dessous de 16ans;mojito party;0x;M0D;1;"verre strier petit /menthe fraiche/piler/broyeur/glace pilée

";10;1;100;8;40940;1;M;0;D
350;Dr. Slump;Mocktail;0x;A96;1;verre disque /bibitte+nenette;10;1;100;8;40940;1;A;96;
351;Mojito SANS ALCOOL nature ou fruite ;mojito party;0x;M0;1;"verre diamant petit /menthe fraiche/piler/broyeur/glace pilée

";10;1;100;8;41153;1;M;0;
352;MARAGARITA PARADISE ;tequilaterie;0x;J22;1;"verre margarita /BIEN SHAKER 

";12;1;50;5;38384;1;J;22;
353;Daiquiri;Oompa LoOmpa;0x;F34;1;"verre hurricane/shaker/filtrer

";12;1;35;3;38384;1;F;34;
354;Daiquiri fraise;Oompa LoOmpa;0x;F35;1;verre hurricane ;12;1;35;3;38384;1;F;35;
355;Small Daiquiri nature;after-workers;0x;F0M;1;verre after 25cl;7,5;1;35;3;40200;1;F;0;M
356;Daiquiri nature ou fruite event ;;0x;I66F;0;"verre à pied/glace pilée

";3;1;50;5;40473;1;I;66;F
357;Daiquiri sb;;0x;I66B;0;"verre à pied/glace pilée

";0;1;50;5;40473;1;I;66;B
358;Daiquiri jamaicain;;0x;I66D;0;"verre à pied/glace pilée

";7;1;50;5;40473;1;I;66;D
359;Saint Germain;bulles;0x;G1;1;verre weizenbeer ;13;1;75;7;40210;1;G;1;
360;Vanité;bulles;0x;G10;1;verre bartender ;13;1;50;1;39479;1;G;10;
361;Luxure;bulles;0x;G11;1;verre bartender ;13;1;50;1;39114;1;G;11;
362;Zappe le nom;bulles;0x;G12;1;verre palladio;13;1;50;4;39845;1;G;12;
363;Dragon;bulles;0x;G13;1;verre bartender ;13;1;50;1;40210;1;G;13;
364;Puket;bulles;0x;G14;1;verre bartender;13;1;50;1;40210;1;G;14;
365;Amistad;bulles;0x;G15;1;verre bartender ;13;1;50;1;40210;1;G;15;
366;Lotus;bulles;0x;G16;1;verre palladio;13;1;50;1;40575;1;G;16;
367;Rockilie;bulles;0x;G17;1;verre weizenbeer ;13;1;75;7;39918;1;G;17;
368;Tentation;mojito party;0x;M33;1;"verre diamant Lg/menthe fraiche/piler/broyeur/glace pilée/fluo

prix fast 15euro";13;1;75;7;39114;1;M;33;
369;Whishette;bulles;0x;G19;1;verre bartender;13;1;50;1;39479;1;G;19;
370;Somptueux;bulles;0x;G2;1;verre bartender ;13;1;50;1;39845;1;G;2;
371;Casanova;bulles;0x;G20;1;"verre à pied/glace pilée/fluo

";13;1;50;1;39845;1;G;20;
372;Vampire;bulles;0x;G21;1;verre V25;13;1;75;7;40940;1;G;21;
373;Salade de cul tournee;mojito party;0x;M5;1;"verre palladio/facon mojito/glace pilée/fluo

";13;1;50;4;40575;1;M;5;
374;Tsunami;grand format;0x;Z5P;0;"

pour 10 à 12 personnes ";100;1;1000;11;39479;1;Z;5;P
375;Big badaboum;grand format;0x;Z5T;0;pour 10 à 12 personnes ;120;1;1000;11;39479;1;Z;5;T
376;Bonne franquette;bulles;0x;G3;1;verre bartender ;13;1;50;1;39479;1;G;3;
377;Cannibale;grand format;0x;Z5U;0;pour 10 à 12 personnes ;90;1;1000;11;40575;1;Z;5;U
378;Loulou;grand format;0x;Z5S;0;"glace pilée/fluo

pour 10 personnes";90;1;1000;11;40575;1;Z;5;S
379;Grisha;bulles;0x;G4;1;verre bartender ;13;1;75;7;39845;1;G;4;
380;Nuit folle;bulles;0x;G5;1;verre bartender ;13;1;50;1;39114;1;G;5;
381;Fisty boy;bulles;0x;G6;1;verre weizenbeer ;13;1;75;7;39479;1;G;6;
382;Champs Elysée;bulles;0x;G7;1;verre bartender ;13;1;50;1;39845;1;G;7;
383;Poison;bulles;0x;G8;1;verre palladio;13;1;50;4;39845;1;G;8;
384;French 75(soixante quinze);bulles;0x;G9;1;verre palladio;13;1;50;1;39845;1;G;9;
385;Sputnik;vodkaterie;0x;H1;1;verre palladio;13;1;50;4;39479;1;H;1;
386;S.O.S cocktail;vodkaterie;0x;H10;1;verre palladio;13;1;50;4;39479;1;H;10;
387;Kirigan;vodkaterie;0x;H11;1;verre palladio;13;1;50;4;39845;1;H;11;
388;Génération Z;vodkaterie;0x;H12;1;verre sangria;13;1;65;5;39479;1;H;12;
389;Anarchy;vodkaterie;0x;H13;1;verre sangria ;12;1;65;5;38749;1;H;13;
390;Stalingrad;vodkaterie;0x;H14;1;"verre cabernet/glace pilée

";12;1;50;5;38384;1;H;14;
391;Coco Rasputin;freaky;0x;L28;1;verre palladio/facon freaky/bien melanger ;15;1;50;4;38749;1;L;28;
392;Nain sadique;vodkaterie;0x;H16;1;verre sangria ;12;1;50;5;39845;1;H;16;
393;Tête de brique;vodkaterie;0x;H17;1;verre hanse/melanger ;12;1;50;6;39845;1;H;17;
394;Prizska;vodkaterie;0x;H18;1;verre weizenbeer ;13;1;75;7;39479;1;H;18;
395;Big Lebowsky;freaky;0x;L19;1;verre palladio/facon freaky/bien melanger ;15;1;50;4;38384;1;L;19;
396;Sugar baby;freaky;0x;L4;1;verre diamant lg/facon freaky/bien melanger ;15;1;50;6;39845;1;L;4;
397;Caipiroska;Oompa LoOmpa;0x;F20;1;"verre tete lego/glace pilée

";12;1;35;3;38749;1;F;20;
398;Y'est la;vodkaterie;0x;H21;1;verre cabernet/shaker ;12;1;50;5;40210;1;H;21;
399;Bloody Lola;vodkaterie;0x;H22;0;"verre à pied

";12;1;50;5;38384;1;H;22;
400;Purple rain;vodkaterie;0x;H23;1;verre cabernet ;12;1;50;5;38384;1;H;23;
401;Co-jito;mojito party;0x;M24;1;"verre E18/menthe fraiche/piler/broyeur/glace pilée

";12;1;50;6;38384;1;M;24;
402;Big Bang theorie;films & series incontournables;0x;D109;1;verre weizenbeer/2s violette + 10 mix Z2e(b51)+L barbe a papa+j fraise+barbe;13;1;50;4;38384;1;D;109;
403;Barbar;vodkaterie;0x;H3;1;"verre bartender 

";13;1;50;4;38749;1;H;3;
404;Papaoutez;vodkaterie;0x;H4;1;verre coupe a glace ;12;1;50;6;39114;1;H;4;
405;Chant russe;vodkaterie;0x;H5;1;verre ananas ;12;1;65;5;39479;1;H;5;
406;Froid de canard;vodkaterie;0x;H6;1;verre E18;12;1;50;6;39845;1;H;6;
407;Darth Nihilus;bulles;0x;G59;1;verre weizenbeer ;13;1;75;7;40210;1;G;59;
408;Bilquies ;vodkaterie;0x;H8;1;verre tiki pt ;12;1;50;5;39845;1;H;8;
409;Crystalisation;vodkaterie;0x;H9;1;verre sangria ;12;1;50;5;39845;1;H;9;
410;Choupe;rhumerie;0x;I1;1;verre coupe plate ;12;1;50;6;38384;1;I;1;
411;Robinson colada;rhumerie;0x;I10;1;"verre tiki gd/shaker/facon colada

";12;1;50;5;39114;1;I;10;
412;Serenity;mojito party;0x;M11;1;"verre weizenbeer /menthe fraiche/piler/broyeur/glace pilée

";12;1;65;5;40210;1;M;11;
413;Hurricane;rhumerie;0x;I12;1;verre cabernet ;12;1;50;6;39479;1;I;12;
414;Guantanamo;rhumerie;0x;I13;1;verre tiki gd ;12;1;50;5;39479;1;I;13;
415;Coconuts;Sweety;0x;S1B;1;"diamant lg/melanger

";15;1;50;4;39479;1;S;1;B
416;Hemingway road;rhumerie;0x;I15;1;verre tiki pt;12;1;50;5;39479;1;I;15;
417;Nikky beach;rhumerie;0x;I16;1;verre sangria ;12;1;50;5;39845;1;I;16;
418;Black pearl;jackdanielserie;0x;I17;1;verre tiki gd/melanger ;13;1;50;6;39479;1;I;17;
419;Mangaroka mango;rhumerie;0x;I18;1;verre tiki gd ;12;1;50;5;39845;1;I;18;
420;Litchi-colada;rhumerie;0x;I19;1;verre cabernet/dans shaker 6cl mix Z2o(colada)+2 l.litchis+4 rhum+jus ananas+jus litchis+shaker fort;12;1;50;5;39479;1;I;19;
421;Mathias ;rhumerie;0x;I2;1;verre palladio;12;1;65;5;38749;1;I;2;
422;Daytona;mojito party;0x;M23;1;"verre ananas/menthe fraiche/piler/broyeur/glace pilée

";13;1;50;6;40210;1;M;23;
423;MaÏ-taÏ revisite;rhumerie;0x;I21;1;verre tete de lego ;12;1;50;6;41671;1;I;21;
424;Ken van poupon;rhumerie;0x;I22;1;verre cognac ;15;1;50;6;41671;1;I;22;
425;Baie des cochons;rhumerie;0x;I23;1;verre tiki gd ;12;1;65;5;40210;1;I;23;
426;Torero;mojito party;0x;M19;1;"verre E18/menthe fraiche/piler/broyeur/glace pilée/(sangria maison en dernier)

";12;1;50;6;41671;1;M;19;
427;Maracuja;rhumerie;0x;I3;1;verre ananas ;12;1;50;5;39114;1;I;3;
428;Rhum Addict;rhumerie;0x;I4;1;verre tiki gd ;12;1;50;5;38749;1;I;4;
429;Macumba;rhumerie;0x;I5;1;verre tiki gd;12;1;50;5;39479;1;I;5;
430;Jack sparrow;rhumerie;0x;I6;1;verre tiki gd;12;1;50;5;39845;1;I;6;
431;Tattoo;rhumerie;0x;I7;1;verre ananas;12;1;50;5;39114;1;I;7;
432;Waikiki beach;rhumerie;0x;I8;1;verre tiki pt ;12;1;65;5;39479;1;I;8;
433;Requin corrompu;rhumerie;0x;I9;1;verre bartender ;13;1;50;4;39479;1;I;9;
434;Mike Tyson;tequilaterie;0x;J1;1;verre bartender /shaker  fort;12;1;50;5;40210;1;J;1;
435;Oh lala;tequilaterie;0x;J10;1;"verre bartender /glace pilée

";12;1;65;5;40940;1;J;10;
436;Métrophyle;tequilaterie;0x;J2;1;"verre bartender/glace pilée

";12;1;50;5;40210;1;J;2;
437;Copacabana colada;tequilaterie;0x;J3;1;"verre Weizenbeer/dans shaker:8mix z2o(colada)+2 ts+4 tequila+jus ananas

";13;1;75;7;40210;1;J;3;
438;Santa Muerte;tequilaterie;0x;J4;1;skull;13;1;50;4;40210;1;J;4;
439;Chop socky choops;Sweety;0x;S55;1;verre palladio;15;1;50;4;40940;1;S;55;
440;Heisenberg;tequilaterie;0x;J6;1;"verre sangria/shaker

";12;1;50;5;40940;1;J;6;
441;Le doigt de Satan;tequilaterie;0x;J7;1;"verre cabernet /glace pilée

";12;1;35;3;40210;1;J;7;
442;Kalimba;tequilaterie;0x;J8;1;;13;1;50;4;40210;1;J;8;
443;Goldie Roger;tequilaterie;0x;J9;1;verre cabernet ;12;1;50;6;40210;1;J;9;
444;Pink lady;ginto&Co;0x;K1;1;"verre ginto/shaker/mixture et 2citron pressé sans eau petillante

";12;1;50;6;39114;1;K;1;
445;Bouddha;ginto&Co;0x;K10;1;verre E18;12;1;50;5;39114;1;K;10;
446;Gin and dream;ginto&Co;0x;K16;1;verre pallaio;13;1;50;4;39114;1;K;16;
447;London time;ginto&Co;0x;K3;1;verre cognac ;12;1;50;6;39479;1;K;3;
448;Singapor sling's colada;ginto&Co;0x;K4;1;verre palladio/tout shaker sauf grenadine  et liqueur cerise en finition;12;1;50;5;39479;1;K;4;
449;Pondichery colada;ginto&Co;0x;K5;1;verre cabernet/shaker + cerise facon colada;12;1;65;5;38749;1;K;5;
450;Tom Collin's;ginto&Co;0x;K6;1;verre tumbler;12;1;50;6;38384;1;K;6;
451;Vipere;ginto&Co;0x;K7;1;verre e18;12;1;50;6;39479;1;K;7;
452;ikitos;ginto&Co;0x;K8;1;verre coupoe a glace ;12;1;50;5;39114;1;K;8;
453;Paradise;ginto&Co;0x;K9;1;verre tiki gd ;12;1;50;5;39479;1;K;9;
454;Secret bar;bonnes adresses;0x;X42;1;verre E18;12;1;50;6;41112;1;X;42;
455;Happy jack mons;bonnes adresses;0x;X37;1;"skull/3pipettes

";13;1;50;6;41112;1;X;37;
456;icona;bonnes adresses;0x;X43;1;verre weizenbeer ;13;1;75;7;41112;1;X;43;
457;Burger Queen;bonnes adresses;0x;X38;1;verre sangria ;12;1;65;5;41112;1;X;38;
458;Zoo club y fiesta;bonnes adresses;0x;X39;1;verre palladio;13;1;50;4;41112;1;X;39;
459;chez louise;bonnes adresses;0x;X44;1;verre sangria / melanger;13;1;50;6;41112;1;X;44;
460;Cafe theatre;bonnes adresses;0x;X40;1;"verre tiki pt/shaker

";12;1;50;5;41112;1;X;40;
461;Pop culture ;Sweety;0x;S53;1;"verre bartender/glace pilée/fluo

";15;1;50;4;41649;1;S;53;
462;Kentucky;jackdanielserie;0x;F7G;1;"verre sangria shaker sauf grenadine

";13;1;50;4;39479;1;F;7;G
463;ça sent le sapin;mojito party;0x;M18;1;"verre ananas/facon mojito/glace pilée

10 mix z2w(sour)+3 rhum+2L ananas+limonade";13;1;75;7;39479;1;M;18;
464;Riff's club;jackdanielserie;0x;F7J;0;"verre old fashion(bord cacao)/glacer verre/ shaker/filtrer /

ecorce d orange ";11;1;35;3;38384;1;F;7;J
465;Mini moi;jackdanielserie;0x;F7H;1;verre cabernet / 10 mix z2w(sour)+2 sky+3 triple sec+j orange+1 s grenadine;12;1;50;5;39479;1;F;7;H
466;Manneken pils flambe;beertails flambes;0x;N1A;1;"lunette/verser bière 33cl et allonger vin blanc dans pichet 1L/flamber base, servir et étouffer avec pichet

";25;1;200;13;40940;1;N;1;A
467;Fruit of the loom;beertails;0x;N10;1;verre pyramide ;12;1;75;7;41671;1;N;10;
468;Mojito beer;mojito party;0x;N4;1;"Verre tour à empiler/servir on the rock

";15;1;200;13;40940;1;N;4;
469;Dunkerque ;beertails;0x;N2;1;verre bagarre/mix Z2q 12cl+2 gin+limonade+bouteille despe retournee dans verre ;15;1;200;13;40940;1;N;2;
470;Tatouf métouf;beertails;0x;N3;1;verre carre/10cl de mix z2(margarita)+2s cerise+coca0+fruitesse retournee;15;1;200;13;41456;1;N;3;
471;Karlytos flambe;beertails flambes;0x;N1D;1;"lunette/verser bière 33cl et allonger vin blanc dans pichet 1L/flamber base, servir et étouffer avec pichet

";25;1;200;13;41456;1;N;1;D
472;Dikkenek(biere flambee pour 2pers.);beertails flambes;0x;N1C;1;"lunette/verser bière 33cl et allonger vin blanc dans pichet 1L/flamber base, servir et étouffer avec pichet

";25;1;200;13;41456;1;N;1;C
473;Sein tcho;beertails;0x;N6;1;verre hanse/!!! retourner desperados dans le verre avant de servir ;13;1;50;6;41456;1;N;6;
474;Sky-rito;mojito party;0x;N4A;1;"verre tour à emplier/facon mojito/glace pilée/servir la desperados renversé dans le verre

";13;1;200;13;41426;1;N;4;A
475;Rubicube(biere flambee pour 2pers.);beertails flambes;0x;N1B;1;"lunette/verser bière 33cl et allonger vin blanc dans pichet 1L/flamber base, servir et étouffer avec pichet

";25;1;200;13;41671;1;N;1;B
476;irish demi litre;hot;0x;O1;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;38384;1;O;1;
477;Chocobailey's;hot;0x;O10;1;"flamber base & étouffer/verser cecemel/chantilly ou

mousse de lait=shaker 10cl lait pour 2sachet de sucre S2

";15;1;50;2;38384;1;O;10;
478;Atomic nounours;hot;0x;O11;1;"chauffer mixture puis servir à table flambée

";15;1;50;2;38384;1;O;11;
479;Sugar Moon;hot;0x;O12;1;"flamber base & étouffer/verser café à la cuillère/chantilly



";15;1;50;2;40210;1;O;12;
480;Chaud devant flambe;hot;0x;O13;1;"chauffer mixture puis servir flamber à table+confiseries sur le cote

";15;1;50;2;39479;1;O;13;
481;Fracasseur;hot;0x;O14;1;"chauffer mixture puis servir flamber à table+confiseries sur le cote

";15;1;50;2;39479;1;O;14;
482;Pirates Coffee;hot;0x;O15;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;2;41671;1;O;15;
483;Canipull;hot;0x;O16;1;"chauffer mixture puis verser cafe a la cuillere+1brownie avec 3 petales de chips au chocolat

";15;1;50;2;39479;1;O;16;
484;Bhiuiu;hot;0x;O33;0;"chauffer mixture puis servir flamber à table

";8;1;50;2;39479;1;O;33;
485;Caramel coffee;hot;0x;O18;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;39479;1;O;18;
486;Duke togo;hot;0x;O19;1;"flamber base & étouffer/verser café à la cuillère/mousse de lait

mousse de lait=shaker 10cl lait pour 2sachet de sucre S2

";15;1;50;4;39845;1;O;19;
487;italian coffee;hot;0x;O2;1;"verre bartender/flamber base & étouffer/verser café à la cuillère

";15;1;50;4;38384;1;O;2;
488;Vieille morrue;hot;0x;O20;1;"verre hanse / chauffer mixture puis verser cafr a la cuillere+chantilly+gourmandises chocolatees

";15;1;50;2;39845;1;O;20;
489;Gorky;hot;0x;O21;1;"faire couler cafe pendant que la mixture chauffe puis flamber-etouffer et verser +cafe+chantilly

";15;1;50;2;40940;1;O;21;
490;Honey coffee;hot;0x;O22;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;75;7;39479;1;O;22;
491;Golgo 13;hot;0x;O23;1;"flamber base & étouffer/verser café à la cuillère/mousse de lait

mousse de lait=shaker 10cl lait pour 2sachet de sucre S2

";15;1;50;4;40940;1;O;23;
492;French coffee;hot;0x;O3;0;"flamber base & étouffer/verser café à la cuillère/chantilly

";13;1;50;4;38384;1;O;3;
493;Mexican coffee;hot;0x;O4;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;38384;1;O;4;
494;Amsterdam coffee;hot;0x;O5;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;2;38384;1;O;5;
495;Jamaican coffee;hot;0x;O6;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;38384;1;O;6;
496;Tournai coffee;hot;0x;O7;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;38384;1;O;7;
497;Belgium coffee;hot;0x;O8;1;"flamber base & étouffer/verser café à la cuillère/chantilly

";15;1;50;4;38384;1;O;8;
498;Quai des bananes coffee;hardcore;0x;O9;1;"verre weizenbeer /flamber base & étouffer/verser café à la cuillère/chantilly

";25;1;50;7;38384;1;O;9;
499;Lille;bonnes adresses;0x;Q1;1;verre tiki gd ;12;1;50;5;38384;1;Q;1;
500;Dien bien phu;bonnes adresses;0x;Q10;1;verre coupe a glace ;12;1;50;5;38749;1;Q;10;
501;Bangkok;bonnes adresses;0x;Q11;1;verre E18;12;1;50;6;38749;1;Q;11;
502;Marly gomont;bonnes adresses;0x;Q12;1;verre ananas/melanger ;12;1;50;6;38749;1;Q;12;
503;Bodrum;bonnes adresses;0x;Q13;1;verre bartender ;12;1;50;5;38749;1;Q;13;
504;Mururoa;bonnes adresses;0x;Q14;1;verre E18;12;1;50;6;38749;1;Q;14;
505;Tchernobyl;bonnes adresses;0x;Q15;1;"verre palladio/3pipettes

";13;1;50;4;38749;1;Q;15;
506;Bastogne;freaky;0x;L9;1;verre bocal/facon freaky/bien melanger ;15;1;50;6;38749;1;L;9;
507;Atlantide;bonnes adresses;0x;Q17;1;verre cognac;13;1;50;6;38749;1;Q;17;
508;St tropez;bonnes adresses;0x;Q18;1;verre sangria ;12;1;65;5;38749;1;Q;18;
509;Bruxelles;freaky;0x;L10;1;verre strier/facon freaky/bien melanger ;15;1;50;4;38749;1;L;10;
510;Ravka;bonnes adresses;0x;Q2;1;verre sangria ;12;1;65;5;38384;1;Q;2;
511;Amsterdam;bonnes adresses;0x;Q20;1;skull;12;1;50;5;38749;1;Q;20;
512;Los Angeles;bonnes adresses;0x;Q21;1;verre sangria / melanger ;12;1;50;5;40940;1;Q;21;
513;Hong Kong;bonnes adresses;0x;Q22;1;verre cabernet/shaker / facon colada;12;1;50;5;40940;1;Q;22;
514;Ibiza;bonnes adresses;0x;Q23;1;verre E18;12;1;50;6;40940;1;Q;23;
515;Bollywood;bonnes adresses;0x;Q24;1;verre tiki pt ;12;1;50;6;40940;1;Q;24;
516;Berlin;bulles;0x;G46;1;verre diamant lg ;13;1;75;7;40940;1;G;46;
517;Malaga;bulles;0x;G47;1;verre diamant long ;15;1;75;7;40940;1;G;47;
518;Death trip;Sweety;0x;S19;1;"verre fist

";15;1;75;7;41579;1;S;19;
519;Gimme danger ;Sweety;0x;S20;1;"verre cognac/shaker

";15;1;50;4;41577;1;S;20;
520;Durbuy;freaky;0x;L44;1;verre bocal;15;1;75;7;41548;1;L;44;
521;Bagdad;freaky;0x;L7;1;verre diamant lg/facon freaky/bien melanger ;15;1;50;6;38749;1;L;7;
522;Shanghai;bonnes adresses;0x;Q30;1;verre cabernet;12;1;50;5;41557;1;Q;30;
523;Beyrouth;bonnes adresses;0x;Q4;0;;13;1;75;7;38749;1;Q;4;
524;Bangladesh;bonnes adresses;0x;Q5;1;verre bartender ;12;1;50;5;38384;1;Q;5;
525;Bogota;bonnes adresses;0x;Q6;1;verre ananas ;12;1;50;5;38749;1;Q;6;
526;Koweït city;freaky;0x;L8;1;verre cognac ;15;1;50;6;38749;1;L;8;
527;Abhidjan;bulles;0x;G49;1;verre weizen beer ;13;1;75;7;38749;1;G;49;
