ID;Nom;Categorie;Photo;Reference;EstDansCarte;Remarque;Sync_Prix;EstCocktail;Quantite;ID_VERRE;DateCreation;estBrochette;Ref_Lettre;Ref_Chiffre;Ref_DerniereLettre
1474;Mes couilles Ti!;vodkaterie;0x;H43;1;verre weizenbeer/sur rondelle ananas mettre 2 cerises marascin+1 bibite;12;1;75;7;;1;H;43;
1475;NallBanGer;vodkaterie;0x;H44;1;verre sangria;12;1;65;5;;1;H;44;
1476;Death Chic;Sweety;0x;S59;1;verre palladio;15;1;75;7;;1;S;59;
1477;Kraken Colada;rhumerie;0x;I40;1;verre palladio/shaker + cerise facon colada- sans le kraken qui est a verser en dernier + verre bartender ;13;1;75;7;;1;I;40;
1478;route du rhum arrangée des déglingués by Damoiseau;combo;0x;Z1Q;1;plateau shooters verres;25;1;150;9;;1;Z;1;Q
1564;Machuca;mojito party;0x;M43;1;verre ananas + façon mojito;0;1;65;5;;1;M;43;
1481;Mini Arancini(12u);Nos snacks Airfryer;0x;A3A;1;Airfryer 7min./four à 200°c;13;1;150;9;;1;A;3;A
1482;Croquettes mexicaines(12u);Nos snacks Airfryer;0x;A3B;1;Airfryer 5min./four à 200°c;10;1;150;9;;1;A;3;B
1484;Tempura de crevettes;Nos snacks Airfryer;0x;A3D;1;Airfryer 7min./four à 240°c;13;1;150;9;;1;A;3;D
1485;Calamars frits à la Romana(10u);Nos snacks Airfryer;0x;A3E;1;Airfryer 7min./four à 240°c;10;1;150;9;;1;A;3;E
1562;Cromenockle;signaturer;0x;B103;1;verre palladio;13;1;50;4;;1;B;103;
1487;Poulet tenders(4u) & potatoes ;Nos snacks Airfryer;0x;A3G;1;Airfryer 8min./four à 240°c;10;1;150;9;;1;A;3;G
1489;Poulet tenders (8u);Nos snacks Airfryer;0x;A3I;1;Airfryer 8min./four à 240°c;10;1;150;9;;1;A;3;I
1565;Cuckoo;beertails;0x;N28;1;verre bagarre  + biere retournee ;15;1;200;13;;1;N;28;
1491;Banderillas (160gr);tapas sur le pouce;0x;A1T;1;;5;1;150;9;;1;A;1;T
1492;GifasuK;rhumerie;0x;I41;1;verre coupe a glace/facon colada shaker ;13;1;65;5;;1;I;41;
1493;Cordilera ;tequilaterie;0x;J18;1;verre coupe a glace /facon colada shaker sans cassis ;13;1;65;5;;1;J;18;
1494;Oversize ;rhumerie;0x;I42;1;verre coupe plate;13;1;50;6;;1;I;42;
1495;Reacher ;films & series incontournables;0x;D104;1;verre E18/bonbon piment ;12;1;50;6;;1;D;104;
1496;Naruto;Mocktail;0x;A128;1;verre diamant long ;10;1;100;8;;1;A;128;
1497;le Belliqueux ;beertails;0x;N50;1;verre bière ikea ;15;1;200;13;;1;N;50;
1498;Moctezuma;hot;0x;O34;1;facon irish;15;1;50;4;;1;O;34;
1499;l'entourloop;hot;0x;O35;1;facon irish;15;1;50;4;;1;O;35;
1500;Bordel de crottin;beertails;0x;N51;1;verre bagarre/leffe retrounee ;15;1;200;13;;1;N;51;
1501;Zizi en chapiteau;beertails;0x;N52;1;verre bagarre/DESPE RETOURNEE ET BIBITE ;15;1;200;13;;1;N;52;
